,word,transcript,neighbours
114,"['г', 'о', 'д']","['g', 'o', 't']","[['v', 'o', 't'], ['h', 'o', 't'], ['g', 'o', 'r'], ['r', 'o', 't'], ['g', 'a', 't'], ['p', 'o', 't']]"
115,"['т', 'е']","[""t'"", 'e']","[['zh', 'e'], [""t'"", 'e', 'm'], [""t'"", 'e', 'h'], ['t', 'y'], [""n'"", 'e'], ['j', 'e'], ['t', 'a'], [""t'"", 'e', 'l'], ['t', 'o'], ['t', 'u'], [""d'"", 'e'], [""s'"", 'e']]"
116,"['х', 'о', 'т', 'ь']","['h', 'o', ""t'""]","[['h', 'o', 'sh']]"
117,"['м', 'н', 'о', 'й']","['m', 'n', 'o', 'j']","[['m', 'o', 'j']]"
118,"['б', 'о', 'г']","['b', 'o', 'h']","[[""b'"", 'e', 'k'], ['n', 'o', 'k'], ['b', 'o'], ['m', 'o', 'k'], ['b', 'o', 'j'], ['b', 'o', 'p'], ['b', 'o', 'k'], ['b', 'o', 'r']]"
119,"['н', 'е', 'й']","[""n'"", 'e', 'j']","[['ch', 'e', 'j'], [""n'"", 'e', 't'], [""n'"", 'e'], [""s'"", 'e', 'j'], ['j', 'e', 'j'], [""b'"", 'e', 'j'], [""d'"", ""n'"", 'e', 'j'], [""p'"", 'e', 'j']]"
120,"['д', 'в', 'у', 'х']","['d', 'v', 'u', 'h']","[['d', 'v', 'u', 'm'], ['d', 'u', 'h']]"
121,"['п', 'у', 'с', 'т', 'ь']","['p', 'u', ""s'"", ""t'""]","[['p', 'u', ""t'""], ['p', 'u', 's', 't']]"
122,"['м', 'а', 'т', 'ь']","['m', 'a', ""t'""]","[['m', 'y', ""t'""], ['d', 'a', ""t'""]]"
123,"['и', 'м']","['i', 'm']","[['j', 'e', 'm'], [""r'"", 'i', 'm'], ['i', 's'], ['u', 'm'], [""n'"", 'i', 'm'], ['i'], [""s'"", 'i', 'm'], ['i', 'h'], [""t'"", 'i', 'm']]"
124,"['в', 'е', 'с', 'ь']","[""v'"", 'e', ""s'""]","[[""v'"", 'e', ""r'""], [""v'"", 'e', 'sc'], [""v'"", 'e', ""t'""], [""v'"", 'e', ""s'"", ""t'""], [""v'"", 'e', 's']]"
125,"['д', 'н', 'е', 'й']","[""d'"", ""n'"", 'e', 'j']","[[""n'"", 'e', 'j'], [""d'"", ""n'"", 'e']]"
126,"['т', 'р', 'и']","['t', ""r'"", 'i']","[['p', ""r'"", 'i']]"
127,"['н', 'а', 'ш']","['n', 'a', 'sh']","[['n', 'a', 't'], ['n', 'a'], ['v', 'a', 'sh'], ['n', 'a', 's'], ['n', 'a', 'm']]"
128,"['ч', 'е', 'м']","['ch', 'e', 'm']","[['j', 'e', 'm'], [""t'"", 'e', 'm'], ['ch', 'e', 'j'], ['ch', 'o', 'm'], [""k'"", 'e', 'm'], [""s'"", 'e', 'm']]"
129,"['в', 'е', 'с', 'ь']","[""v'"", 'e', ""s'""]","[[""v'"", 'e', ""r'""], [""v'"", 'e', 'sc'], [""v'"", 'e', ""t'""], [""v'"", 'e', ""s'"", ""t'""], [""v'"", 'e', 's']]"
130,"['р', 'а', 'з']","['r', 'a', 's']","[['r', 'a', 'n'], ['r', 'a', 'k'], ['r', 'a', 't'], ['r', 'o', 's'], ['v', 'r', 'a', 's'], ['g', 'a', 's'], ['f', 'r', 'a', 's'], ['r', 'a', 'j'], ['r', 'a', 'p']]"
131,"['к', 'н', 'я', 'з', 'ь']","['k', ""n'"", 'a', ""s'""]",[]
132,"['д', 'в', 'е']","['d', ""v'"", 'e']","[[""d'"", ""n'"", 'e'], ['d', 'v', 'a'], [""d'"", 'e']]"
133,"['т', 'у']","['t', 'u']","[['t', 'y'], [""t'"", 'e'], ['t', 'a'], ['t', 'o'], ['t', 'u', 'ch'], ['u'], ['n', 'u'], ['t', 'u', 't'], ['r', 't', 'u'], ['f', 'u']]"
134,"['т', 'о', 'т']","['t', 'o', 't']","[['p', 'o', 't'], ['t', 'o', 'j'], ['o', 't'], ['t', 'o'], ['t', 'o', 'n'], ['s', 'o', 't'], ['t', 'o', 'k'], ['v', 'o', 't'], ['t', 'o', 's', 't'], ['r', 'o', 't'], ['t', 'u', 't'], ['t', 'o', 'm'], ['k', 'o', 't']]"
135,"['т', 'а']","['t', 'a']","[['k', 'a'], ['t', 'y'], [""t'"", 'e'], ['a'], ['n', 'a'], ['t', 'o'], ['t', 'u'], ['s', 't', 'a'], ['h', 'a'], ['t', 'a', 'k'], ['d', 'a'], ['b', 'a'], ['z', 'a'], ['r', 't', 'a'], ['t', 'a', 'm'], ['l', 'a']]"
136,"['н', 'и', 'х']","[""n'"", 'i', 'h']","[[""n'"", 'i', 'm'], [""s'"", 'i', 'h'], [""n'"", 'i'], ['i', 'h']]"
137,"['д', 'е', 'н', 'ь']","[""d'"", 'e', ""n'""]","[[""t'"", 'e', ""n'""], ['d', 'a', ""n'""], [""l'"", 'e', ""n'""]]"
138,"['с', 'ы', 'н']","['s', 'y', 'n']","[['s', 'a', 'n'], ['s', 'o', 'n']]"
139,"['ч', 'а', 'с', 'т', 'ь']","['ch', 'a', ""s'"", ""t'""]","[['ch', 'e', ""s'"", ""t'""]]"
140,"['т', 'о', 'м']","['t', 'o', 'm']","[[""t'"", 'e', 'm'], ['t', 'o', 'j'], ['d', 'o', 'm'], ['t', 'a', 'm'], ['t', 'o'], ['t', 'o', 'n'], ['r', 't', 'o', 'm'], ['t', 'o', 'k'], ['k', 'o', 'm'], ['t', 'o', 't'], [""t'"", 'i', 'm']]"
141,"['н', 'е', 'й']","[""n'"", 'e', 'j']","[['ch', 'e', 'j'], [""n'"", 'e', 't'], [""n'"", 'e'], [""s'"", 'e', 'j'], ['j', 'e', 'j'], [""b'"", 'e', 'j'], [""d'"", ""n'"", 'e', 'j'], [""p'"", 'e', 'j']]"
142,"['д', 'в', 'е']","['d', ""v'"", 'e']","[[""d'"", ""n'"", 'e'], ['d', 'v', 'a'], [""d'"", 'e']]"
143,"['с', 'и', 'х']","[""s'"", 'i', 'h']","[[""s'"", ""t'"", 'i', 'h'], [""n'"", 'i', 'h'], [""s'"", 'i', 'm'], ['i', 'h'], [""s'"", 'i', 'l']]"
144,"['д', 'а', 'т', 'ь']","['d', 'a', ""t'""]","[['zh', 'd', 'a', ""t'""], ['d', 'a', ""l'""], ['z', 'd', 'a', ""t'""], ['d', 'a', ""n'""], ['m', 'a', ""t'""], ['d', 'a', 'sh']]"
145,"['в', 'з', 'я', 'л']","['v', ""z'"", 'a', 'l']","[['v', ""z'"", 'a', 't'], ['v', ""z'"", 'a', 'f']]"
146,"['д', 'о', 'м']","['d', 'o', 'm']","[['d', 'n', 'o', 'm'], ['d', 'u', 'm'], ['d', 'o'], ['d', 'a', 'm'], ['d', 'o', 'n'], ['d', 'y', 'm'], ['t', 'o', 'm'], ['k', 'o', 'm']]"
147,"['ш', 'ё', 'л']","['sh', 'o', 'l']","[[""v'"", 'o', 'l']]"
148,"['с', 'т', 'о', 'л', 'ь']","['s', 't', 'o', ""l'""]","[[""s'"", ""t'"", 'i', ""l'""], ['s', 'k', 'o', ""l'""], ['t', 'o', ""l'""], ['s', 'o', ""l'""], ['s', 't', 'o', 'l', 'p'], ['s', 't', 'o', 'l']]"
149,"['н', 'о', 'ч', 'ь']","['n', 'o', 'ch']","[['d', 'o', 'ch'], ['n', 'o', ""l'""]]"
150,"['в', 'с', 'е', 'х']","['f', ""s'"", 'e', 'h']","[['f', ""s'"", 'e', 'm'], ['f', ""s'"", 'e', 'j'], ['f', ""s'"", 'e']]"
151,"['п', 'я', 'т', 'ь']","[""p'"", 'a', ""t'""]","[['p', 'u', ""t'""], [""z'"", 'a', ""t'""], [""p'"", 'e', ""t'""], [""p'"", 'i', ""t'""]]"
152,"['и', 'х']","['i', 'h']","[['o', 'h'], ['i', 's'], ['e', 'h'], ['u', 'h'], [""n'"", 'i', 'h'], [""s'"", 'i', 'h'], ['i'], ['i', 'm'], ['a', 'h']]"
153,"['д', 'в', 'е', 'р', 'ь']","['d', ""v'"", 'e', ""r'""]","[[""v'"", 'e', ""r'""], ['z', ""v'"", 'e', ""r'""]]"
154,"['с', 'и', 'л']","[""s'"", 'i', 'l']","[[""m'"", 'i', 'l'], ['z', ""b'"", 'i', 'l'], [""s'"", 'i', 'h'], [""s'"", 'i', 'm'], ['zh', 'y', 'l'], [""b'"", 'i', 'l'], [""p'"", 'i', 'l'], [""s'"", 'e', 'l']]"
155,"['о', 'н']","['o', 'n']","[['o', 'h'], ['a', 'n'], ['o', 't'], ['o'], ['t', 'o', 'n'], ['o', 'j'], ['o', 'p'], ['z', 'o', 'n'], ['d', 'o', 'n'], ['j', 'a', 'n'], ['f', 'o', 'n'], ['s', 'o', 'n'], ['v', 'o', 'n']]"
156,"['с', 'к', 'в', 'о', 'з', 'ь']","['s', 'k', 'v', 'o', ""s'""]",[]
157,['я'],"['j', 'a']","[['j', 'e'], [""m'"", 'a'], ['a'], ['e'], ['o'], ['u'], ['i'], ['j', 'a', 'n']]"
158,"['д', 'н', 'и']","[""d'"", ""n'"", 'i']","[['d', 'n', 'a'], ['d', 'n', 'u'], [""d'"", ""n'"", 'a'], [""d'"", ""n'"", 'u'], [""n'"", 'i'], ['d', 'n', 'o'], [""d'"", ""n'"", 'e']]"
159,"['з', 'н', 'а', 'л']","['z', 'n', 'a', 'l']","[['z', 'n', 'a', 'k'], ['z', 'a', 'l'], ['z', 'v', 'a', 'l'], ['z', 'n', 'a', 'j'], ['g', 'n', 'a', 'l']]"
160,"['в', 'с', 'е', 'м']","['f', ""s'"", 'e', 'm']","[['f', ""s'"", 'e', 'h'], ['f', ""s'"", 'e'], ['f', ""s'"", 'o', 'm'], ['f', ""s'"", 'e', 'j'], [""s'"", 'e', 'm']]"
161,"['в', 'з', 'я', 'т', 'ь']","['v', ""z'"", 'a', ""t'""]","[['v', ""z'"", 'a', 't'], [""z'"", 'a', ""t'""]]"
162,"['а', 'х']","['a', 'h']","[['sh', 'a', 'h'], ['o', 'h'], ['a', 'sh'], ['a', 'n'], ['a'], ['e', 'h'], ['u', 'h'], ['i', 'h'], ['a', 't'], ['a', 'j']]"
163,"['в', 'н', 'о', 'в', 'ь']","['v', 'n', 'o', ""f'""]",[]
164,"['с', 'л', 'о', 'в']","['s', 'l', 'o', 'f']","[['s', 'n', 'o', 'f'], ['s', 'l', 'o', 'j'], ['s', 'l', 'o', 'n']]"
165,"['б', 'р', 'а', 'т']","['b', 'r', 'a', 't']","[['b', 'r', 'a', 'k'], ['b', 'r', 'a', 'l'], ['b', 'r', 'a', ""t'""]]"
166,"['в', 'с', 'е', 'х']","['f', ""s'"", 'e', 'h']","[['f', ""s'"", 'e', 'm'], ['f', ""s'"", 'e', 'j'], ['f', ""s'"", 'e']]"
167,"['м', 'ы', 'с', 'л', 'ь']","['m', 'y', 's', ""l'""]",[]
168,['о'],['o'],"[['e'], ['u'], ['v', 'o'], ['d', 'o'], ['p', 'o'], ['o', 'h'], ['a'], ['n', 'o'], ['o', 'p'], ['b', 'o'], ['k', 'o'], ['t', 'o'], ['i'], ['j', 'a'], ['o', 'n'], ['s', 'o'], ['j', 'e'], ['o', 't'], ['o', 'j']]"
169,"['м', 'и', 'р']","[""m'"", 'i', 'r']","[['m', 'e', 'r'], [""m'"", 'i', 'k'], [""m'"", 'i', 'f'], [""m'"", 'e', 'r'], [""m'"", 'i', 'l'], [""p'"", 'i', 'r']]"
170,"['д', 'а', 'л']","['d', 'a', 'l']","[[""d'"", 'e', 'l'], ['d', 'a', 'f'], ['d', 'a', 'n'], ['b', 'a', 'l'], ['d', 'a', ""l'""], ['m', 'a', 'l'], ['d', 'a', 'k'], ['d', 'u', 'l'], ['d', 'a'], ['d', 'a', 'r'], ['zh', 'd', 'a', 'l'], ['z', 'a', 'l'], ['d', 'a', 'm'], ['z', 'd', 'a', 'l'], ['p', 'a', 'l'], ['d', 'a', 'j']]"
171,"['т', 'о', 'й']","['t', 'o', 'j']","[['m', 'o', 'j'], ['s', 't', 'o', 'j'], ['t', 'o'], ['t', 'o', 'n'], ['o', 'j'], ['t', 'o', 'k'], ['b', 'o', 'j'], ['t', 'v', 'o', 'j'], ['v', 'o', 'j'], ['t', 'o', 'm'], ['t', 'o', 't']]"
172,"['ч', 'а', 'с']","['ch', 'a', 's']","[['n', 'a', 's'], ['v', 'a', 's'], ['b', 'a', 's'], ['ch', 'a', 'j']]"
173,"['т', 'е']","[""t'"", 'e']","[['zh', 'e'], [""t'"", 'e', 'm'], [""t'"", 'e', 'h'], ['t', 'y'], [""n'"", 'e'], ['j', 'e'], ['t', 'a'], [""t'"", 'e', 'l'], ['t', 'o'], ['t', 'u'], [""d'"", 'e'], [""s'"", 'e']]"
174,"['н', 'и', 'х']","[""n'"", 'i', 'h']","[[""n'"", 'i', 'm'], [""s'"", 'i', 'h'], [""n'"", 'i'], ['i', 'h']]"
175,"['д', 'е', 'л']","[""d'"", 'e', 'l']","[['j', 'e', 'l'], [""t'"", 'e', 'l'], [""d'"", 'e'], ['d', 'u', 'l'], [""s'"", 'e', 'l'], ['d', 'a', 'l'], [""p'"", 'e', 'l'], [""d'"", 'e', 't']]"
176,"['н', 'и', 'м']","[""n'"", 'i', 'm']","[[""r'"", 'i', 'm'], [""n'"", 'i', 'h'], [""s'"", 'i', 'm'], [""n'"", 'i'], ['i', 'm'], [""n'"", 'o', 'm'], [""t'"", 'i', 'm'], ['n', 'a', 'm']]"
177,"['р', 'е', 'ч', 'ь']","[""r'"", 'e', 'ch']","[[""l'"", 'e', 'ch'], [""p'"", 'e', 'ch'], ['zh', 'e', 'ch']]"
178,"['д', 'о', 'м']","['d', 'o', 'm']","[['d', 'n', 'o', 'm'], ['d', 'u', 'm'], ['d', 'o'], ['d', 'a', 'm'], ['d', 'o', 'n'], ['d', 'y', 'm'], ['t', 'o', 'm'], ['k', 'o', 'm']]"
179,"['в', 'с', 'е', 'х']","['f', ""s'"", 'e', 'h']","[['f', ""s'"", 'e', 'm'], ['f', ""s'"", 'e', 'j'], ['f', ""s'"", 'e']]"
180,"['п', 'ё', 'т', 'р']","[""p'"", 'o', 't', 'r']",[]
181,"['ч', 'а', 'с', 'т', 'ь']","['ch', 'a', ""s'"", ""t'""]","[['ch', 'e', ""s'"", ""t'""]]"
182,"['м', 'и', 'р']","[""m'"", 'i', 'r']","[['m', 'e', 'r'], [""m'"", 'i', 'k'], [""m'"", 'i', 'f'], [""m'"", 'e', 'r'], [""m'"", 'i', 'l'], [""p'"", 'i', 'r']]"
183,"['в', 'с', 'е', 'х']","['f', ""s'"", 'e', 'h']","[['f', ""s'"", 'e', 'm'], ['f', ""s'"", 'e', 'j'], ['f', ""s'"", 'e']]"
184,"['р', 'о', 'л', 'ь']","['r', 'o', ""l'""]","[['n', 'o', ""l'""], ['t', 'o', ""l'""], ['r', 'u', ""l'""], ['b', 'o', ""l'""], ['r', 'o', 'sh'], ['k', 'o', ""l'""], ['s', 'o', ""l'""]]"
185,"['д', 'н', 'ё', 'м']","[""d'"", ""n'"", 'o', 'm']","[[""n'"", 'o', 'm'], [""d'"", ""n'"", 'a', 'm'], ['d', 'n', 'o', 'm']]"
186,"['т', 'о', 'м']","['t', 'o', 'm']","[[""t'"", 'e', 'm'], ['t', 'o', 'j'], ['d', 'o', 'm'], ['t', 'a', 'm'], ['t', 'o'], ['t', 'o', 'n'], ['r', 't', 'o', 'm'], ['t', 'o', 'k'], ['k', 'o', 'm'], ['t', 'o', 't'], [""t'"", 'i', 'm']]"
187,"['т', 'р', 'ё', 'х']","['t', ""r'"", 'o', 'h']","[['t', ""r'"", 'o', 'm']]"
188,"['ш', 'л', 'и']","['sh', ""l'"", 'i']","[[""l'"", 'i'], ['sh', 'l', 'a'], ['sh', 'l', 'o']]"
189,"['в', 'с', 'е', 'м']","['f', ""s'"", 'e', 'm']","[['f', ""s'"", 'e', 'h'], ['f', ""s'"", 'e'], ['f', ""s'"", 'o', 'm'], ['f', ""s'"", 'e', 'j'], [""s'"", 'e', 'm']]"
190,"['ж', 'и', 'л']","['zh', 'y', 'l']","[[""m'"", 'i', 'l'], [""b'"", 'i', 'l'], [""s'"", 'i', 'l'], [""p'"", 'i', 'l'], ['zh', 'y', 'f']]"
191,"['з', 'н', 'а', 'л']","['z', 'n', 'a', 'l']","[['z', 'n', 'a', 'k'], ['z', 'a', 'l'], ['z', 'v', 'a', 'l'], ['z', 'n', 'a', 'j'], ['g', 'n', 'a', 'l']]"
192,"['д', 'р', 'у', 'г']","['d', 'r', 'u', 'k']","[['v', 'd', 'r', 'u', 'k'], ['k', 'r', 'u', 'k']]"
193,"['п', 'у', 'т', 'ь']","['p', 'u', ""t'""]","[['p', 'u', ""s'"", ""t'""], [""p'"", 'e', ""t'""], ['ch', 'u', ""t'""], [""p'"", 'a', ""t'""], [""p'"", 'i', ""t'""], ['p', 'u', ""l'""], ['s', 'u', ""t'""]]"
194,['а'],['a'],"[['a', 'sh'], ['a', 'n'], ['e'], ['n', 'a'], ['u'], ['b', 'a'], ['a', 'j'], ['k', 'a'], ['t', 'a'], ['h', 'a'], ['a', 't'], ['l', 'a'], ['o'], ['i'], ['j', 'a'], ['z', 'a'], ['a', 'h'], ['j', 'e'], ['d', 'a']]"
195,"['в', 'н', 'и', 'з']","['v', ""n'"", 'i', 's']",[]
196,"['с', 'т', 'а', 'т', 'ь']","['s', 't', 'a', ""t'""]","[['z', 'd', 'a', ""t'""], ['s', 'p', 'a', ""t'""], ['f', 's', 't', 'a', ""t'""]]"
197,"['м', 'н', 'е']","['m', ""n'"", 'e']","[['v', ""n'"", 'e'], [""s'"", ""n'"", 'e'], [""d'"", ""n'"", 'e'], [""n'"", 'e']]"
198,"['г', 'л', 'а', 'з']","['g', 'l', 'a', 's']","[['g', 'l', 'a', 'f'], ['g', 'a', 's']]"
199,"['т', 'о']","['t', 'o']","[['t', 'o', 'j'], ['s', 't', 'o'], ['t', 'u'], ['v', 'o'], ['d', 'o'], ['p', 'o'], ['ch', 't', 'o'], ['t', 'a'], ['n', 'o'], ['b', 'o'], ['k', 't', 'o'], ['t', 'y'], ['k', 'o'], ['sh', 't', 'o'], ['o'], ['t', 'o', 'k'], ['s', 'o'], [""t'"", 'e'], ['t', 'o', 'n'], ['t', 'o', 'm'], ['t', 'o', 't']]"
200,"['с', 'п', 'а', 'т', 'ь']","['s', 'p', 'a', ""t'""]","[['z', 'd', 'a', ""t'""], ['s', 't', 'a', ""t'""]]"
201,"['ш', 'л', 'а']","['sh', 'l', 'a']","[['l', 'a'], ['z', 'l', 'a'], ['sh', 'l', 'o'], ['sh', ""l'"", 'i']]"
202,"['с', 'т', 'о', 'л']","['s', 't', 'o', 'l']","[['s', 't', 'o', 'j'], ['s', 't', 'o'], ['s', 't', 'o', 'p'], ['s', 't', 'o', ""l'""], ['s', 't', 'o', 'l', 'p'], ['s', 't', 'u', 'l'], ['s', 't', 'v', 'o', 'l'], ['s', 't', 'a', 'l']]"
203,"['в', 'с', 'е', 'й']","['f', ""s'"", 'e', 'j']","[[""s'"", 'e', 'j'], ['f', ""s'"", 'e', 'h'], ['f', ""s'"", 'e'], ['f', ""s'"", 'e', 'm']]"
204,"['с', 'р', 'е', 'д', 'с', 'т', 'в']","['s', ""r'"", 'e', 'c', 't', 'f']",[]
205,"['р', 'у', 'к']","['r', 'u', 'k']","[['zh', 'u', 'k'], [""r'"", 'e', 'k'], ['r', 'u', 'p'], ['r', 'a', 'k']]"
206,"['с', 'ч', 'ё', 'т']","['sc', 'o', 't']","[['sc', 'ch', 'o', 'l']]"
207,"['с', 'е', 'л']","[""s'"", 'e', 'l']","[[""d'"", 'e', 'l'], ['j', 'e', 'l'], [""s'"", 'e', 'j'], [""t'"", 'e', 'l'], ['s', ""m'"", 'e', 'l'], [""s'"", 'e'], ['s', 'j', 'e', 'l'], [""p'"", 'e', 'l'], [""s'"", 'i', 'l'], [""s'"", 'e', 'm']]"
208,"['в', 'и', 'д']","[""v'"", 'i', 't']","[[""v'"", 'i', 'n'], ['v', 'o', 't']]"
209,"['м', 'у', 'ж']","['m', 'u', 'sh']","[['u', 'sh'], [""m'"", 'e', 'sh'], ['m', 'u', 'h']]"
210,"['в', 'з', 'г', 'л', 'я', 'д']","['v', 'z', 'g', ""l'"", 'a', 't']",[]
211,"['в', 'с', 'т', 'а', 'л']","['f', 's', 't', 'a', 'l']","[['f', 's', 't', 'a', 'f'], ['s', 't', 'a', 'l']]"
212,"['м', 'о', 'й']","['m', 'o', 'j']","[['t', 'o', 'j'], ['m', 'n', 'o', 'j'], ['o', 'j'], ['m', 'o', 'k'], ['b', 'o', 'j'], ['m', 'a', 'j'], ['v', 'o', 'j'], ['m', 'o', 'l']]"
213,"['т', 'е', 'м']","[""t'"", 'e', 'm']","[['j', 'e', 'm'], [""t'"", 'e', 'h'], [""t'"", 'e'], [""t'"", 'e', 'l'], ['ch', 'e', 'm'], [""t'"", 'i', 'm'], [""k'"", 'e', 'm'], ['t', 'o', 'm'], ['t', 'a', 'm'], [""t'"", 'e', 'm', 'p'], [""s'"", 'e', 'm']]"
214,"['с', 'в', 'е', 'т']","['s', ""v'"", 'e', 't']","[['c', ""v'"", 'e', 't']]"
215,"['в', 'с', 'ё', 'м']","['f', ""s'"", 'o', 'm']","[['f', ""s'"", 'e', 'm'], [""s'"", 'o', 'm'], ['f', ""s'"", 'o']]"
216,"['ц', 'а', 'р', 'ь']","['c', 'a', ""r'""]",[]
217,"['с', 'м', 'е', 'р', 'т', 'ь']","['s', ""m'"", 'e', 'r', ""t'""]",[]
218,"['с', 'в', 'е', 'т']","['s', ""v'"", 'e', 't']","[['c', ""v'"", 'e', 't']]"
219,"['х', 'о', 'т', 'ь']","['h', 'o', ""t'""]","[['h', 'o', 'sh']]"
220,"['з', 'н', 'а', 'т', 'ь']","['z', 'n', 'a', ""t'""]","[['g', 'n', 'a', ""t'""], ['z', 'v', 'a', ""t'""]]"
221,"['в', 'в', 'е', 'р', 'х']","['v', ""v'"", 'e', 'r', 'h']","[[""v'"", 'e', 'r', 'h'], ['s', ""v'"", 'e', 'r', 'h']]"
222,"['в', 'д', 'о', 'л', 'ь']","['v', 'd', 'o', ""l'""]","[['v', 'd', 'a', ""l'""]]"
223,"['т', 'а', 'к']","['t', 'a', 'k']","[['k', 'a', 'k'], ['r', 'a', 'k'], ['t', 'a'], ['d', 'a', 'k'], ['t', 'a', 'k', 't'], ['t', 'o', 'k'], ['t', 'a', 'm']]"
224,"['з', 'н', 'а', 'т', 'ь']","['z', 'n', 'a', ""t'""]","[['g', 'n', 'a', ""t'""], ['z', 'v', 'a', ""t'""]]"
225,"['н', 'о', 'ч', 'ь']","['n', 'o', 'ch']","[['d', 'o', 'ch'], ['n', 'o', ""l'""]]"
226,"['т', 'о', 'й']","['t', 'o', 'j']","[['m', 'o', 'j'], ['s', 't', 'o', 'j'], ['t', 'o'], ['t', 'o', 'n'], ['o', 'j'], ['t', 'o', 'k'], ['b', 'o', 'j'], ['t', 'v', 'o', 'j'], ['v', 'o', 'j'], ['t', 'o', 'm'], ['t', 'o', 't']]"
227,"['в', 'с', 'л', 'е', 'д']","['f', 's', ""l'"", 'e', 't']","[['s', ""l'"", 'e', 't']]"
228,"['с', 'т', 'р', 'а', 'н']","['s', 't', 'r', 'a', 'n']","[['s', 't', 'r', 'a', 'h'], ['s', 't', 'a', 'n']]"
229,"['в', 'е', 'д', 'ь']","[""v'"", 'e', ""t'""]","[[""v'"", 'e', 'sc'], [""v'"", 'e', ""r'""], [""v'"", 'e', ""s'""]]"
230,"['в', 'о', 'н']","['v', 'o', 'n']","[['v', 'o', 'j', 'n'], ['v', 'o', 'l', 'n'], ['v', 'o', 'r'], ['v', 'o', 's'], [""v'"", 'i', 'n'], ['t', 'o', 'n'], ['v', 'o', 't'], ['z', 'v', 'o', 'n'], ['v', 'a', 'n'], ['v', 'o', 't'], ['v', 'o'], ['v', 'o', 'j'], ['z', 'o', 'n'], ['o', 'n'], ['d', 'o', 'n'], ['f', 'o', 'n'], ['s', 'o', 'n']]"
231,"['ж', 'а', 'л', 'ь']","['zh', 'a', ""l'""]","[['a', ""l'""], ['d', 'a', ""l'""]]"
232,"['г', 'р', 'а', 'ф']","['g', 'r', 'a', 'f']","[['g', 'r', 'a', 't']]"
233,"['в', 'а', 'ш']","['v', 'a', 'sh']","[['v', 'a', 's'], ['v', 'a', 'n'], ['n', 'a', 'sh'], ['v', 'a', 'm']]"
234,"['п', 'я', 'т', 'ь']","[""p'"", 'a', ""t'""]","[['p', 'u', ""t'""], [""z'"", 'a', ""t'""], [""p'"", 'e', ""t'""], [""p'"", 'i', ""t'""]]"
235,"['д', 'о', 'ч', 'ь']","['d', 'o', 'ch']","[['n', 'o', 'ch']]"
236,"['к', 'а']","['k', 'a']","[['k', 'a', 'k'], ['k', 'o'], ['a'], ['n', 'a'], ['t', 'a'], ['h', 'a'], ['d', 'a'], ['b', 'a'], ['z', 'a'], ['l', 'a']]"
237,"['в', 'н', 'е']","['v', ""n'"", 'e']","[[""n'"", 'e'], [""s'"", ""n'"", 'e'], ['f', ""s'"", 'e'], ['m', ""n'"", 'e'], [""d'"", ""n'"", 'e']]"
238,"['д', 'в', 'е', 'р', 'ь']","['d', ""v'"", 'e', ""r'""]","[[""v'"", 'e', ""r'""], ['z', ""v'"", 'e', ""r'""]]"
239,"['ч', 'ё', 'р', 'т']","['ch', 'o', 'r', 't']","[['ch', 'e', 'r', 't']]"
240,"['в', 'л', 'а', 'с', 'т', 'ь']","['v', 'l', 'a', ""s'"", ""t'""]","[['k', 'l', 'a', ""s'"", ""t'""]]"
241,"['п', 'у', 'т', 'ь']","['p', 'u', ""t'""]","[['p', 'u', ""s'"", ""t'""], [""p'"", 'e', ""t'""], ['ch', 'u', ""t'""], [""p'"", 'a', ""t'""], [""p'"", 'i', ""t'""], ['p', 'u', ""l'""], ['s', 'u', ""t'""]]"
242,"['ч', 'е', 'с', 'т', 'ь']","['ch', 'e', ""s'"", ""t'""]","[[""s'"", 'e', ""s'"", ""t'""], ['j', 'e', ""s'"", ""t'""], [""v'"", 'e', ""s'"", ""t'""], ['ch', 'a', ""s'"", ""t'""], ['sh', 'e', ""s'"", ""t'""], [""m'"", 'e', ""s'"", ""t'""]]"
243,"['ч', 'е', 'м']","['ch', 'e', 'm']","[['j', 'e', 'm'], [""t'"", 'e', 'm'], ['ch', 'e', 'j'], ['ch', 'o', 'm'], [""k'"", 'e', 'm'], [""s'"", 'e', 'm']]"
244,"['м', 'о', 'л']","['m', 'o', 'l']","[['m', 'o', 'j'], ['m', 'a', 'l'], [""m'"", 'i', 'l'], ['m', 'o', 'k'], ['p', 'o', 'l']]"
245,"['ч', 'т', 'о']","['ch', 't', 'o']","[['k', 't', 'o'], ['sh', 't', 'o'], ['s', 't', 'o'], ['t', 'o'], ['sh', 't', 'o', 'p']]"
246,"['к', 'н', 'и', 'г']","['k', ""n'"", 'i', 'k']",[]
247,"['ч', 'а', 'й']","['ch', 'a', 'j']","[['ch', 'e', 'j'], ['ch', 'a', 's'], ['d', 'a', 'j'], ['m', 'a', 'j'], ['r', 'a', 'j'], ['a', 'j']]"
248,"['т', 'в', 'о', 'й']","['t', 'v', 'o', 'j']","[['s', 'v', 'o', 'j'], ['t', 'o', 'j'], ['v', 'o', 'j']]"
249,"['п', 'р', 'е', 'д']","['p', ""r'"", 'e', 't']","[['b', ""r'"", 'e', 't'], ['v', ""r'"", 'e', 't']]"
250,"['б', 'у', 'д', 'ь']","['b', 'u', ""t'""]",[]
251,"['н', 'о', 'г']","['n', 'o', 'k']","[['n', 'o', 's'], ['b', 'o', 'h'], ['n', 'o'], ['m', 'o', 'k'], ['n', 'o', 'sh']]"
