,word,transcript,neighbours
79,"['и', 'м']","['i', 'm']","[['j', 'e', 'm'], [""r'"", 'i', 'm'], ['i', 's'], ['u', 'm'], [""n'"", 'i', 'm'], ['i'], [""s'"", 'i', 'm'], ['i', 'h'], [""t'"", 'i', 'm']]"
80,"['с', 'т', 'а', 'л']","['s', 't', 'a', 'l']","[['f', 's', 't', 'a', 'l'], ['s', 't', 'a', 'f'], ['s', 't', 'a', 'n'], ['s', 'p', 'a', 'l'], ['s', 't', 'a'], ['s', 'k', 'a', 'l'], ['s', 't', 'a', 'r'], ['z', 'd', 'a', 'l'], ['zh', 'a', 'l'], ['s', 't', 'u', 'l'], ['s', 't', 'o', 'l']]"
81,"['в', 'с', 'е']","['f', ""s'"", 'e']","[['v', ""n'"", 'e'], ['f', ""s'"", 'u'], ['f', ""s'"", 'e', 'h'], ['f', ""s'"", 'e', 'm'], [""s'"", 'e'], ['f', ""s'"", 'e', 'j'], ['f', ""s'"", 'a'], ['f', ""s'"", 'o']]"
82,"['н', 'а', 'с']","['n', 'a', 's']","[['n', 'a', 't'], ['n', 'o', 's'], ['n', 'a'], ['n', 'a', 'sh'], ['ch', 'a', 's'], ['v', 'a', 's'], [""n'"", 'o', 's'], ['b', 'a', 's'], ['n', 'a', 'm']]"
83,"['в', 'с', 'е']","['f', ""s'"", 'e']","[['v', ""n'"", 'e'], ['f', ""s'"", 'u'], ['f', ""s'"", 'e', 'h'], ['f', ""s'"", 'e', 'm'], [""s'"", 'e'], ['f', ""s'"", 'e', 'j'], ['f', ""s'"", 'a'], ['f', ""s'"", 'o']]"
84,"['в', 'а', 'с']","['v', 'a', 's']","[['v', 'a', 'j', 's'], ['ch', 'a', 's'], ['v', 'a', 'sh'], ['v', 'a', 'n'], ['v', 'a', 'm'], ['n', 'a', 's'], ['b', 'a', 's'], [""v'"", 'e', 's']]"
85,"['т', 'о', 'т']","['t', 'o', 't']","[['p', 'o', 't'], ['t', 'o', 'j'], ['o', 't'], ['t', 'o'], ['t', 'o', 'n'], ['s', 'o', 't'], ['t', 'o', 'k'], ['v', 'o', 't'], ['t', 'o', 's', 't'], ['r', 'o', 't'], ['t', 'u', 't'], ['t', 'o', 'm'], ['k', 'o', 't']]"
86,"['м', 'о', 'й']","['m', 'o', 'j']","[['t', 'o', 'j'], ['m', 'n', 'o', 'j'], ['o', 'j'], ['m', 'o', 'k'], ['b', 'o', 'j'], ['m', 'a', 'j'], ['v', 'o', 'j'], ['m', 'o', 'l']]"
87,"['в', 'с', 'ё']","['f', ""s'"", 'o']","[['f', ""s'"", 'e'], ['f', ""s'"", 'u'], ['f', ""s'"", 'o', 'm'], ['f', ""s'"", 'a']]"
88,"['м', 'о', 'г']","['m', 'o', 'k']","[[""m'"", 'i', 'k'], ['m', 'o', 'j'], ['n', 'o', 'k'], ['m', 'o', 'z', 'k'], ['s', 'm', 'o', 'k'], ['m', 'o', 'l'], ['b', 'o', 'h']]"
